method,item1,item2,score
TM_CCOEFF_NORMED,empty,empty2,67.43608856201172
TM_CCOEFF_NORMED,empty,empty3,51.05059051513672
TM_CCOEFF_NORMED,empty,empty4,35.387298583984375
TM_CCOEFF_NORMED,empty,empty5,-10.245129585266113
TM_CCOEFF_NORMED,empty,empty6,31.463163375854492
TM_CCOEFF_NORMED,empty,empty7,56.24636459350586
TM_CCOEFF_NORMED,empty,empty8,10.213082313537598
TM_CCOEFF_NORMED,empty,empty9,-16.05072021484375
TM_CCOEFF_NORMED,empty,empty10,3.5576064586639404
TM_CCOEFF_NORMED,empty,empty11,-15.991933822631836
TM_CCOEFF_NORMED,empty,empty12,39.07128143310547
TM_CCOEFF_NORMED,empty,empty13,10.598246574401855
TM_CCOEFF_NORMED,empty,empty14,40.76227569580078
TM_CCOEFF_NORMED,empty,empty15,86.31388854980469
TM_CCOEFF_NORMED,empty,empty16,12.18472957611084
TM_CCOEFF_NORMED,empty,empty17,82.64567565917969
TM_CCOEFF_NORMED,empty,empty18,44.73714828491211
TM_CCOEFF_NORMED,empty,empty19,55.47174072265625
TM_CCOEFF_NORMED,empty,empty20,48.79532241821289
TM_CCOEFF_NORMED,empty,empty21,60.735904693603516
TM_CCOEFF_NORMED,empty,empty22,-5.075364589691162
TM_CCOEFF_NORMED,empty,empty23,47.92717361450195
TM_CCOEFF_NORMED,empty,empty24,28.81376075744629
TM_CCOEFF_NORMED,empty,empty25,22.750537872314453
TM_CCOEFF_NORMED,empty,empty26,-13.40528678894043
TM_CCOEFF_NORMED,empty,empty27,-18.972246170043945
TM_CCOEFF_NORMED,empty,empty28,19.34276580810547
TM_CCOEFF_NORMED,empty,empty29,30.941871643066406
TM_CCOEFF_NORMED,empty,empty30,40.82615280151367
TM_CCOEFF_NORMED,empty,empty31,81.82503509521484
TM_CCOEFF_NORMED,empty,empty32,17.867412567138672
TM_CCOEFF_NORMED,empty,empty33,66.32783508300781
TM_CCOEFF_NORMED,empty,empty34,44.01365280151367
TM_CCOEFF_NORMED,empty,empty35,-12.579615592956543
TM_CCOEFF_NORMED,empty,empty36,87.93855285644531
TM_CCOEFF_NORMED,empty,empty37,36.93816375732422
TM_CCOEFF_NORMED,empty,empty38,-16.660615921020508
TM_CCOEFF_NORMED,empty,empty39,61.3930778503418
TM_CCOEFF_NORMED,empty,empty40,43.87102127075195
TM_CCOEFF_NORMED,empty,empty41,31.262588500976562
TM_CCOEFF_NORMED,empty,empty42,40.16938400268555
TM_CCOEFF_NORMED,empty,empty43,21.36767578125
TM_CCOEFF_NORMED,empty,empty44,-9.455702781677246
TM_CCOEFF_NORMED,empty,empty45,12.239861488342285
TM_CCOEFF_NORMED,empty,empty46,69.97723388671875
TM_CCOEFF_NORMED,empty,empty47,-13.663287162780762
TM_CCOEFF_NORMED,empty,empty48,15.546208381652832
TM_CCOEFF_NORMED,empty,empty49,80.81871032714844
TM_CCOEFF_NORMED,empty,empty50,38.83595275878906
TM_CCOEFF_NORMED,empty,empty51,19.97638702392578
TM_CCOEFF_NORMED,empty,empty52,39.56864929199219
TM_CCOEFF_NORMED,empty,empty53,16.1758975982666
TM_CCOEFF_NORMED,empty,empty54,26.744640350341797
TM_CCOEFF_NORMED,empty,empty55,60.87068176269531
TM_CCOEFF_NORMED,empty,empty56,15.36120319366455
TM_CCOEFF_NORMED,empty,empty57,41.56049728393555
TM_CCOEFF_NORMED,empty,empty58,12.649333953857422
TM_CCOEFF_NORMED,empty,empty59,19.932109832763672
TM_CCOEFF_NORMED,empty,empty60,37.914703369140625
TM_CCOEFF_NORMED,empty,empty61,69.11395263671875
TM_CCOEFF_NORMED,empty,empty62,48.79532241821289
TM_CCOEFF_NORMED,empty,empty63,48.79532241821289
TM_CCOEFF_NORMED,empty,empty64,-10.006629943847656
TM_CCOEFF_NORMED,empty,empty65,13.908770561218262
TM_CCOEFF_NORMED,empty,empty66,-21.360870361328125
TM_CCOEFF_NORMED,empty,empty67,11.405861854553223
TM_CCOEFF_NORMED,empty,empty68,11.405861854553223
TM_CCOEFF_NORMED,empty,empty69,37.28891372680664
TM_CCOEFF_NORMED,empty,empty70,56.29734802246094
TM_CCOEFF_NORMED,empty,empty71,29.63087272644043
TM_CCOEFF_NORMED,empty,empty72,40.59172439575195
TM_CCOEFF_NORMED,empty,empty73,41.56049728393555
TM_CCOEFF_NORMED,empty,empty74,60.34244155883789
TM_CCOEFF_NORMED,empty,empty75,42.24116897583008
TM_CCOEFF_NORMED,empty,empty76,67.6218490600586
TM_CCOEFF_NORMED,empty,empty77,26.276975631713867
TM_CCOEFF_NORMED,empty,empty78,25.669660568237305
TM_CCOEFF_NORMED,empty,empty79,37.914703369140625
TM_CCOEFF_NORMED,empty,empty80,37.914703369140625
TM_CCOEFF_NORMED,empty,empty81,62.55070495605469
TM_CCOEFF_NORMED,empty,empty82,14.880928039550781
