method,item1,item2,score
TM_CCOEFF_NORMED,empty,empty,83.7180404663086
TM_CCOEFF_NORMED,empty,empty,75.52529907226562
TM_CCOEFF_NORMED,empty,empty,67.69364929199219
TM_CCOEFF_NORMED,empty,empty,44.87743377685547
TM_CCOEFF_NORMED,empty,empty,65.73158264160156
TM_CCOEFF_NORMED,empty,empty,78.12318420410156
TM_CCOEFF_NORMED,empty,empty,55.106536865234375
TM_CCOEFF_NORMED,empty,empty,41.974639892578125
TM_CCOEFF_NORMED,empty,empty,51.778804779052734
TM_CCOEFF_NORMED,empty,empty,42.004032135009766
TM_CCOEFF_NORMED,empty,empty,69.53564453125
TM_CCOEFF_NORMED,empty,empty,55.29912185668945
TM_CCOEFF_NORMED,empty,empty,70.38114166259766
TM_CCOEFF_NORMED,empty,empty,93.15694427490234
TM_CCOEFF_NORMED,empty,empty,56.09236526489258
TM_CCOEFF_NORMED,empty,empty,91.32283782958984
TM_CCOEFF_NORMED,empty,empty,72.36857604980469
TM_CCOEFF_NORMED,empty,empty,77.73587036132812
TM_CCOEFF_NORMED,empty,empty,74.39765930175781
TM_CCOEFF_NORMED,empty,empty,80.36795043945312
TM_CCOEFF_NORMED,empty,empty,47.462318420410156
TM_CCOEFF_NORMED,empty,empty,73.96358489990234
TM_CCOEFF_NORMED,empty,empty,64.4068832397461
TM_CCOEFF_NORMED,empty,empty,61.375267028808594
TM_CCOEFF_NORMED,empty,empty,43.29735565185547
TM_CCOEFF_NORMED,empty,empty,40.513877868652344
TM_CCOEFF_NORMED,empty,empty,59.671382904052734
TM_CCOEFF_NORMED,empty,empty,65.47093200683594
TM_CCOEFF_NORMED,empty,empty,70.41307830810547
TM_CCOEFF_NORMED,empty,empty,90.91252136230469
TM_CCOEFF_NORMED,empty,empty,58.9337043762207
TM_CCOEFF_NORMED,empty,empty,83.1639175415039
TM_CCOEFF_NORMED,empty,empty,72.00682830810547
TM_CCOEFF_NORMED,empty,empty,43.7101936340332
TM_CCOEFF_NORMED,empty,empty,93.96927642822266
TM_CCOEFF_NORMED,empty,empty,68.46908569335938
TM_CCOEFF_NORMED,empty,empty,41.6696891784668
TM_CCOEFF_NORMED,empty,empty,80.696533203125
TM_CCOEFF_NORMED,empty,empty,71.93550872802734
TM_CCOEFF_NORMED,empty,empty,65.63129425048828
TM_CCOEFF_NORMED,empty,empty,70.0846939086914
TM_CCOEFF_NORMED,empty,empty,60.683841705322266
TM_CCOEFF_NORMED,empty,empty,45.27214813232422
TM_CCOEFF_NORMED,empty,empty,56.119930267333984
TM_CCOEFF_NORMED,empty,empty,84.98861694335938
TM_CCOEFF_NORMED,empty,empty,43.168357849121094
TM_CCOEFF_NORMED,empty,empty,57.773101806640625
TM_CCOEFF_NORMED,empty,empty,90.40935516357422
TM_CCOEFF_NORMED,empty,empty,69.41797637939453
TM_CCOEFF_NORMED,empty,empty,59.98819351196289
TM_CCOEFF_NORMED,empty,empty,69.7843246459961
TM_CCOEFF_NORMED,empty,empty,58.08795166015625
TM_CCOEFF_NORMED,empty,empty,63.372318267822266
TM_CCOEFF_NORMED,empty,empty,80.43534088134766
TM_CCOEFF_NORMED,empty,empty,57.680599212646484
TM_CCOEFF_NORMED,empty,empty,70.7802505493164
TM_CCOEFF_NORMED,empty,empty,56.32466506958008
TM_CCOEFF_NORMED,empty,empty,59.96605682373047
TM_CCOEFF_NORMED,empty,empty,68.95735168457031
TM_CCOEFF_NORMED,empty,empty,84.55697631835938
TM_CCOEFF_NORMED,empty,empty,74.39765930175781
TM_CCOEFF_NORMED,empty,empty,74.39765930175781
TM_CCOEFF_NORMED,empty,empty,44.99668502807617
TM_CCOEFF_NORMED,empty,empty,56.954383850097656
TM_CCOEFF_NORMED,empty,empty,39.31956481933594
TM_CCOEFF_NORMED,empty,empty,55.70293045043945
TM_CCOEFF_NORMED,empty,empty,55.70293045043945
TM_CCOEFF_NORMED,empty,empty,68.64445495605469
TM_CCOEFF_NORMED,empty,empty,78.14867401123047
TM_CCOEFF_NORMED,empty,empty,64.81543731689453
TM_CCOEFF_NORMED,empty,empty,70.29586029052734
TM_CCOEFF_NORMED,empty,empty,70.7802505493164
TM_CCOEFF_NORMED,empty,empty,80.17121887207031
TM_CCOEFF_NORMED,empty,empty,71.1205825805664
TM_CCOEFF_NORMED,empty,empty,83.81092834472656
TM_CCOEFF_NORMED,empty,empty,63.138484954833984
TM_CCOEFF_NORMED,empty,empty,62.8348274230957
TM_CCOEFF_NORMED,empty,empty,68.95735168457031
TM_CCOEFF_NORMED,empty,empty,68.95735168457031
TM_CCOEFF_NORMED,empty,empty,81.27535247802734
TM_CCOEFF_NORMED,empty,empty,57.44046401977539
TM_CCOEFF_NORMED,empty,empty,48.58346176147461
TM_CCOEFF_NORMED,empty,empty,61.83303451538086
TM_CCOEFF_NORMED,empty,empty,69.01354217529297
TM_CCOEFF_NORMED,empty,empty,49.62831497192383
TM_CCOEFF_NORMED,empty,empty,77.48570251464844
TM_CCOEFF_NORMED,empty,empty,39.293800354003906
TM_CCOEFF_NORMED,empty,empty,72.76292419433594
TM_CCOEFF_NORMED,empty,empty,89.7666015625
TM_CCOEFF_NORMED,empty,empty,81.75741577148438
TM_CCOEFF_NORMED,empty,empty,75.77669525146484
TM_CCOEFF_NORMED,empty,empty,62.961204528808594
TM_CCOEFF_NORMED,empty,empty,79.91773223876953
TM_CCOEFF_NORMED,empty,empty,69.65399169921875
TM_CCOEFF_NORMED,empty,empty,66.19595336914062
TM_CCOEFF_NORMED,empty,empty,62.065006256103516
TM_CCOEFF_NORMED,empty,empty,56.623130798339844
TM_CCOEFF_NORMED,empty,empty,70.7802505493164
TM_CCOEFF_NORMED,empty,empty,83.81092834472656
TM_CCOEFF_NORMED,empty,empty,72.7963638305664
TM_CCOEFF_NORMED,empty,empty,55.37175369262695
TM_CCOEFF_NORMED,empty,empty,68.81432342529297
TM_CCOEFF_NORMED,empty,empty,62.8348274230957
TM_CCOEFF_NORMED,empty,empty,77.62761688232422
TM_CCOEFF_NORMED,empty,empty,58.08795166015625
TM_CCOEFF_NORMED,empty,empty,73.96358489990234
TM_CCOEFF_NORMED,empty,empty,61.924129486083984
TM_CCOEFF_NORMED,empty,empty,54.865055084228516
TM_CCOEFF_NORMED,empty,empty,67.5594482421875
TM_CCOEFF_NORMED,empty,empty,66.69525146484375
TM_CCOEFF_NORMED,empty,empty,70.38114166259766
TM_CCOEFF_NORMED,empty,empty,70.07491302490234
TM_CCOEFF_NORMED,empty,empty,65.63129425048828
TM_CCOEFF_NORMED,empty,empty,82.58696746826172
TM_CCOEFF_NORMED,empty,empty,100.0
TM_CCOEFF_NORMED,empty,empty,77.73587036132812
TM_CCOEFF_NORMED,empty,empty,59.87104034423828
TM_CCOEFF_NORMED,empty,empty,65.90310668945312
TM_CCOEFF_NORMED,empty,empty,63.972862243652344
TM_CCOEFF_NORMED,empty,empty,83.7180404663086
