method,item1,item2,score
TM_CCOEFF_NORMED,grass,empty2,15.709890365600586
TM_CCOEFF_NORMED,grass,empty3,31.848102569580078
TM_CCOEFF_NORMED,grass,empty4,17.811328887939453
TM_CCOEFF_NORMED,grass,empty5,-32.66020965576172
TM_CCOEFF_NORMED,grass,empty6,29.776599884033203
TM_CCOEFF_NORMED,grass,empty7,4.80524206161499
TM_CCOEFF_NORMED,grass,empty8,-41.68137741088867
TM_CCOEFF_NORMED,grass,empty9,-33.84699249267578
TM_CCOEFF_NORMED,grass,empty10,-21.83537483215332
TM_CCOEFF_NORMED,grass,empty11,-29.27992057800293
TM_CCOEFF_NORMED,grass,empty12,-3.161256790161133
TM_CCOEFF_NORMED,grass,empty13,-36.96012496948242
TM_CCOEFF_NORMED,grass,empty14,-2.341695547103882
TM_CCOEFF_NORMED,grass,empty15,20.66756248474121
TM_CCOEFF_NORMED,grass,empty16,-37.07308578491211
TM_CCOEFF_NORMED,grass,empty17,19.005939483642578
TM_CCOEFF_NORMED,grass,empty18,21.587345123291016
TM_CCOEFF_NORMED,grass,empty19,9.671119689941406
TM_CCOEFF_NORMED,grass,empty20,-3.9990882873535156
TM_CCOEFF_NORMED,grass,empty21,7.321878433227539
TM_CCOEFF_NORMED,grass,empty22,-33.98377990722656
TM_CCOEFF_NORMED,grass,empty23,12.027510643005371
TM_CCOEFF_NORMED,grass,empty24,6.122389316558838
TM_CCOEFF_NORMED,grass,empty25,3.2307252883911133
TM_CCOEFF_NORMED,grass,empty26,-27.107444763183594
TM_CCOEFF_NORMED,grass,empty27,-25.16823959350586
TM_CCOEFF_NORMED,grass,empty28,-40.08452606201172
TM_CCOEFF_NORMED,grass,empty29,-10.228927612304688
TM_CCOEFF_NORMED,grass,empty30,-19.67251205444336
TM_CCOEFF_NORMED,grass,empty31,24.02022361755371
TM_CCOEFF_NORMED,grass,empty32,-8.90001392364502
TM_CCOEFF_NORMED,grass,empty33,17.783763885498047
TM_CCOEFF_NORMED,grass,empty34,3.162731170654297
TM_CCOEFF_NORMED,grass,empty35,-33.319976806640625
TM_CCOEFF_NORMED,grass,empty36,20.55304527282715
TM_CCOEFF_NORMED,grass,empty37,14.906452178955078
TM_CCOEFF_NORMED,grass,empty38,-30.309104919433594
TM_CCOEFF_NORMED,grass,empty39,3.534961223602295
TM_CCOEFF_NORMED,grass,empty40,36.52031707763672
TM_CCOEFF_NORMED,grass,empty41,23.490997314453125
TM_CCOEFF_NORMED,grass,empty42,-16.34353256225586
TM_CCOEFF_NORMED,grass,empty43,-34.016971588134766
TM_CCOEFF_NORMED,grass,empty44,-28.842029571533203
TM_CCOEFF_NORMED,grass,empty45,24.014368057250977
TM_CCOEFF_NORMED,grass,empty46,20.48237419128418
TM_CCOEFF_NORMED,grass,empty47,-21.633604049682617
TM_CCOEFF_NORMED,grass,empty48,-31.381834030151367
TM_CCOEFF_NORMED,grass,empty49,22.72153663635254
TM_CCOEFF_NORMED,grass,empty50,36.279930114746094
TM_CCOEFF_NORMED,grass,empty51,11.344720840454102
TM_CCOEFF_NORMED,grass,empty52,8.346029281616211
TM_CCOEFF_NORMED,grass,empty53,13.926044464111328
TM_CCOEFF_NORMED,grass,empty54,19.32518196105957
TM_CCOEFF_NORMED,grass,empty55,3.6379873752593994
TM_CCOEFF_NORMED,grass,empty56,9.527606010437012
TM_CCOEFF_NORMED,grass,empty57,-18.639122009277344
TM_CCOEFF_NORMED,grass,empty58,6.063218116760254
TM_CCOEFF_NORMED,grass,empty59,11.366822242736816
TM_CCOEFF_NORMED,grass,empty60,30.52556610107422
TM_CCOEFF_NORMED,grass,empty61,18.2097110748291
TM_CCOEFF_NORMED,grass,empty62,-3.9990882873535156
TM_CCOEFF_NORMED,grass,empty63,-3.9990882873535156
TM_CCOEFF_NORMED,grass,empty64,-32.282962799072266
TM_CCOEFF_NORMED,grass,empty65,6.808587074279785
TM_CCOEFF_NORMED,grass,empty66,-28.866867065429688
TM_CCOEFF_NORMED,grass,empty67,-37.81557846069336
TM_CCOEFF_NORMED,grass,empty68,-37.81557846069336
TM_CCOEFF_NORMED,grass,empty69,-6.526981353759766
TM_CCOEFF_NORMED,grass,empty70,-21.343351364135742
TM_CCOEFF_NORMED,grass,empty71,30.036874771118164
TM_CCOEFF_NORMED,grass,empty72,0.09303046762943268
TM_CCOEFF_NORMED,grass,empty73,-18.639122009277344
TM_CCOEFF_NORMED,grass,empty74,22.864654541015625
TM_CCOEFF_NORMED,grass,empty75,25.08966064453125
TM_CCOEFF_NORMED,grass,empty76,17.975936889648438
TM_CCOEFF_NORMED,grass,empty77,-30.2418270111084
TM_CCOEFF_NORMED,grass,empty78,-32.192626953125
TM_CCOEFF_NORMED,grass,empty79,30.52556610107422
TM_CCOEFF_NORMED,grass,empty80,30.52556610107422
TM_CCOEFF_NORMED,grass,empty81,31.99150848388672
TM_CCOEFF_NORMED,grass,empty82,-35.616031646728516
TM_CCOEFF_NORMED,grass,empty83,-10.743281364440918
